Geneid	Chr	Start	End	Strand	Length	21_bam_clean/P1_MYB3_R1.mLb.flT.bam	x1.bam	x2.bam
Interval_299	B01	34893201	34893410	+	210	56	25	6
Interval_300	B01	34942241	34942379	+	139	18	0	0
Interval_301	B01	34956189	34956361	+	173	27	0	0
Interval_302	B01	34984399	34984536	+	138	24	2	2
Interval_303	B01	35231611	35231711	+	101	21	3	1
Interval_304	B01	35276579	35276707	+	129	34	0	0
Interval_305	B01	35300288	35300385	+	98	23	0	0
Interval_306	B01	35682693	35682806	+	114	26	24	0
Interval_307	B01	35733374	35733485	+	112	20	4	1
Interval_308	B01	35789083	35789186	+	104	18	0	0
Interval_309	B01	36143561	36143698	+	138	30	0	0
Interval_310	B01	36171807	36171963	+	157	31	0	0
Interval_311	B01	36261265	36261429	+	165	38	0	0
Interval_312	B01	36832294	36832391	+	98	21	0	0
Interval_313	B01	36890092	36890222	+	131	37	0	0
Interval_314	B01	37168160	37168257	+	98	14	10	0
Interval_315	B01	37285547	37285676	+	130	21	4	0
Interval_316	B01	37588471	37588571	+	101	24	3	1
Interval_317	B01	37765612	37765711	+	100	22	7	1
Interval_318	B01	38099073	38099222	+	150	21	0	0
Interval_319	B01	38242121	38242218	+	98	11	0	0
Interval_320	B01	38345512	38345666	+	155	50	0	0
Interval_321	B01	38530163	38530307	+	145	16	0	0
Interval_322	B01	38734838	38734935	+	98	29	7	0
Interval_323	B01	38735067	38735196	+	130	15	0	1
Interval_324	B01	38735239	38735410	+	172	18	0	0
Interval_325	B01	39234192	39234289	+	98	16	0	0
Interval_326	B01	39389617	39389750	+	134	39	0	0
Interval_327	B01	39410506	39410658	+	153	43	0	3
Interval_328	B01	39460402	39460574	+	173	28	0	0
Interval_329	B01	39940612	39940811	+	200	23	0	0
Interval_330	B01	40427950	40428093	+	144	47	0	0
Interval_331	B01	40530681	40530787	+	107	14	5	0
Interval_332	B01	40551033	40551186	+	154	32	0	0
Interval_333	B01	40918729	40918887	+	159	21	0	0
Interval_334	B01	40932937	40933057	+	121	22	0	0
Interval_335	B01	40972632	40972834	+	203	36	0	0
Interval_336	B01	41196563	41196725	+	163	27	0	0
Interval_337	B01	41236671	41236768	+	98	12	0	0
Interval_338	B01	41366744	41366990	+	247	39	0	0
Interval_339	B01	41601619	41601717	+	99	22	10	0
Interval_340	B01	41893048	41893177	+	130	11	1	1
Interval_341	B01	42106280	42106377	+	98	33	3	6
Interval_342	B01	42237093	42237202	+	110	37	12	0
Interval_343	B01	42434220	42434401	+	182	45	0	0
Interval_344	B01	42661005	42661217	+	213	45	0	0
Interval_345	B01	42787337	42787463	+	127	22	17	0
Interval_346	B01	42815880	42816001	+	122	18	11	0
Interval_347	B01	43039620	43039736	+	117	18	4	0
Interval_348	B01	43305118	43305223	+	106	15	3	3
Interval_349	B01	43314564	43314698	+	135	26	0	0
Interval_350	B01	43337967	43338141	+	175	35	13	6
Interval_351	B01	43613287	43613544	+	258	107	0	0
Interval_352	B01	43622411	43622603	+	193	59	25	0
Interval_353	B01	43623614	43623848	+	235	74	7	0
Interval_354	B01	43715644	43715804	+	161	37	4	3
Interval_355	B01	44536961	44537067	+	107	25	6	0
Interval_356	B01	44546576	44546693	+	118	33	29	0
Interval_357	B01	44619900	44620022	+	123	20	11	0
Interval_358	B01	44620273	44620448	+	176	42	32	0
Interval_359	B01	44620829	44620929	+	101	22	7	0
Interval_360	B01	44732142	44732369	+	228	33	7	0
Interval_361	B01	44924795	44924926	+	132	29	0	0
Interval_362	B01	44976801	44976919	+	119	35	10	0
Interval_363	B01	45113266	45113365	+	100	25	0	0
Interval_364	B01	45149591	45149821	+	231	69	0	0
Interval_365	B01	45228328	45228705	+	378	151	8	0
Interval_366	B01	45290476	45290574	+	99	23	3	4
Interval_367	B01	45370454	45370571	+	118	15	11	0
Interval_368	B01	45374404	45374586	+	183	28	7	5
Interval_369	B01	45451720	45451848	+	129	22	0	0
Interval_370	B01	45512977	45513074	+	98	9	0	0
Interval_371	B01	45988328	45988570	+	243	52	32	0
Interval_372	B01	46011644	46011742	+	99	24	0	0
Interval_373	B01	46168099	46168241	+	143	35	0	0
Interval_374	B01	46583626	46583743	+	118	24	23	0
Interval_375	B01	46952194	46952333	+	140	24	13	4
Interval_376	B01	47134697	47134816	+	120	28	3	2
Interval_377	B01	47219592	47219717	+	126	17	1	1
Interval_378	B01	47566718	47566823	+	106	24	8	8
Interval_379	B01	47568011	47568127	+	117	26	13	2
Interval_380	B01	47579166	47579289	+	124	40	3	0
Interval_381	B01	47583010	47583147	+	138	48	20	7
Interval_382	B01	47586901	47587029	+	129	34	1	3
Interval_383	B01	47588370	47588495	+	126	34	2	3
Interval_384	B01	47605476	47605605	+	130	24	0	0
Interval_385	B01	47972669	47972889	+	221	63	0	0
Interval_386	B01	48278859	48278976	+	118	20	0	0
Interval_387	B01	48624702	48624805	+	104	15	0	0
Interval_388	B01	48638632	48638742	+	111	31	0	0
Interval_389	B01	48742022	48742198	+	177	45	0	0
Interval_390	B01	48742935	48743116	+	182	42	0	0
Interval_391	B01	48829342	48829487	+	146	17	0	0
Interval_392	B01	49062584	49062752	+	169	52	18	1
Interval_393	B01	49085639	49085815	+	177	23	0	0
Interval_394	B01	49090005	49090116	+	112	34	13	0
Interval_395	B01	49266959	49267112	+	154	21	16	0
Interval_396	B01	49804351	49804552	+	202	42	10	0
Interval_397	B01	50011039	50011163	+	125	25	0	0
Interval_398	B01	50189687	50189807	+	121	34	8	3
Interval_399	B01	50205186	50205317	+	132	28	7	0
Interval_400	B01	50206271	50206386	+	116	36	0	0
Interval_401	B01	50394814	50394943	+	130	25	14	0
Interval_402	B01	50695023	50695125	+	103	31	0	0
Interval_403	B01	50721657	50721816	+	160	42	7	0
Interval_404	B01	51078584	51078682	+	99	27	0	0
Interval_405	B01	51132175	51132371	+	197	62	0	0
Interval_406	B01	51328963	51329075	+	113	9	4	0
Interval_407	B01	51332434	51332669	+	236	30	5	0
Interval_408	B01	51543503	51543603	+	101	17	9	0
Interval_409	B01	51735006	51735122	+	117	22	11	0
Interval_410	B01	51736491	51736753	+	263	101	71	0
Interval_411	B01	51950888	51951016	+	129	25	21	0
Interval_412	B01	51983873	51984191	+	319	85	58	0
Interval_413	B01	51995317	51995455	+	139	24	0	0
Interval_414	B01	52328812	52328933	+	122	11	3	0
Interval_415	B01	52483832	52483953	+	122	6	0	0
Interval_416	B01	52506048	52506172	+	125	26	0	0
Interval_417	B01	52522334	52522479	+	146	37	0	0
Interval_418	B01	53185284	53185384	+	101	29	10	2
Interval_419	B01	53253876	53254129	+	254	55	0	0
Interval_420	B01	53579297	53579405	+	109	23	0	0
Interval_421	B01	53581536	53581767	+	232	88	0	0
Interval_422	B01	53690982	53691090	+	109	17	0	0
Interval_423	B01	53776339	53776450	+	112	25	0	0
Interval_424	B01	53886815	53886995	+	181	24	0	0
Interval_425	B01	54015942	54016118	+	177	23	0	0
Interval_426	B01	54027430	54027611	+	182	45	0	0
Interval_427	B01	54491746	54491911	+	166	20	0	0
Interval_428	B01	54624837	54624967	+	131	25	6	0
Interval_429	B01	54928132	54928229	+	98	25	0	0
Interval_430	B01	55245588	55245857	+	270	108	0	0
Interval_431	B01	55709952	55710064	+	113	23	0	0
Interval_432	B01	55710509	55710684	+	176	36	1	0
Interval_433	B01	55781567	55781721	+	155	42	0	0
Interval_434	B01	56097379	56097500	+	122	46	3	1
Interval_435	B01	56396788	56396907	+	120	23	2	1
Interval_436	B01	56742451	56742576	+	126	30	0	0
Interval_437	B01	56912215	56912385	+	171	39	0	0
Interval_438	B01	56912570	56912785	+	216	55	0	0
Interval_439	B01	56924544	56924680	+	137	40	0	0
Interval_440	B01	57392466	57392582	+	117	27	0	0
Interval_441	B01	57657968	57658126	+	159	38	0	0
Interval_442	B01	57659968	57660112	+	145	20	2	1
Interval_443	B01	58054813	58054957	+	145	25	2	0
Interval_444	B01	58197714	58197875	+	162	45	0	0
Interval_445	B01	58221206	58221356	+	151	32	0	0
Interval_446	B01	58271290	58271390	+	101	21	1	0
Interval_447	B01	58641181	58641360	+	180	48	0	0
Interval_448	B01	58945126	58945262	+	137	27	0	0
Interval_449	B01	59254074	59254223	+	150	33	0	0
Interval_450	B01	59343360	59343466	+	107	27	5	1
Interval_451	B01	59343695	59343801	+	107	22	16	2
Interval_452	B01	59409800	59409958	+	159	45	0	0
Interval_453	B01	59742196	59742373	+	178	64	0	0
Interval_454	B01	59766524	59766699	+	176	40	16	0
Interval_455	B01	59841617	59841731	+	115	40	0	0
Interval_456	B01	59848552	59848753	+	202	84	2	0
Interval_457	B01	59853535	59853683	+	149	43	3	0
Interval_458	B01	60093752	60093891	+	140	18	3	0
Interval_459	B01	60937659	60937784	+	126	23	14	0
Interval_460	B01	61430613	61430733	+	121	28	4	0
Interval_461	B01	61431205	61431383	+	179	42	19	0
Interval_462	B01	61437217	61437565	+	349	162	0	0
Interval_463	B01	61578057	61578156	+	100	28	0	0
Interval_464	B01	61727908	61728137	+	230	49	23	10
Interval_465	B01	61779587	61779761	+	175	34	8	3
Interval_466	B01	61780635	61780734	+	100	20	6	0
Interval_467	B01	61789382	61789518	+	137	38	3	6
Interval_468	B01	61909660	61909908	+	249	85	0	0
Interval_469	B01	62092217	62092345	+	129	19	0	3
Interval_470	B01	62178239	62178371	+	133	33	0	0
Interval_471	B01	62201684	62201829	+	146	33	0	0
Interval_472	B01	62201965	62202095	+	131	29	0	0
Interval_473	B01	62466686	62466848	+	163	42	0	0
Interval_474	B01	62706091	62706271	+	181	38	24	8
Interval_475	B01	63276983	63277087	+	105	26	0	0
Interval_476	B01	63361887	63362005	+	119	22	0	0
Interval_477	B01	63857794	63857939	+	146	22	2	2
Interval_478	B01	63861289	63861387	+	99	24	0	0
Interval_479	B01	63930941	63931103	+	163	23	6	0
Interval_480	B01	63979109	63979276	+	168	48	0	0
Interval_481	B01	63983910	63984059	+	150	21	2	0
Interval_482	B01	64320835	64320932	+	98	10	0	0
Interval_483	B01	64361747	64361922	+	176	52	0	0
Interval_484	B01	64465046	64465162	+	117	30	0	0
Interval_485	B01	64742940	64743037	+	98	14	13	0
Interval_486	B01	64763129	64763248	+	120	17	11	0
Interval_487	B01	65265860	65266023	+	164	34	6	0
Interval_488	B01	65499375	65499474	+	100	32	0	0
Interval_489	B01	65647118	65647222	+	105	16	0	0
Interval_490	B01	65690566	65690663	+	98	21	5	7
Interval_491	B01	65988884	65989021	+	138	36	5	0
Interval_492	B01	65997585	65997750	+	166	32	28	0
Interval_493	B01	66197892	66197989	+	98	6	3	0
Interval_494	B01	66325879	66326000	+	122	25	3	0
Interval_495	B01	66485774	66485874	+	101	25	0	0
Interval_496	B01	66556434	66556536	+	103	10	0	0
Interval_497	B01	66592804	66592925	+	122	17	1	1
Interval_498	B01	66652185	66652285	+	101	27	3	5
Interval_499	B01	66654150	66654247	+	98	24	9	5
Interval_500	B01	66655577	66655725	+	149	21	12	0
Interval_501	B01	66824648	66824758	+	111	18	0	0
Interval_502	B01	66824952	66825049	+	98	13	2	2
Interval_503	B01	66929618	66929818	+	201	53	25	0
Interval_504	B01	67120448	67120587	+	140	29	0	0
Interval_505	B01	67219346	67219459	+	114	17	0	0
Interval_506	B01	67435369	67435654	+	286	43	4	0
Interval_507	B01	67583914	67584062	+	149	31	0	0
Interval_508	B01	67870169	67870307	+	139	37	10	0
Interval_509	B01	67950393	67950543	+	151	34	17	0
Interval_510	B01	67965667	67965849	+	183	57	2	0
Interval_511	B01	68104373	68104471	+	99	7	0	0
Interval_512	B01	68258040	68258259	+	220	25	14	0
Interval_513	B01	68394774	68394944	+	171	66	45	0
Interval_514	B01	68462371	68462497	+	127	30	20	0
